identificacao,probabilidade,informacao,esquerda,direita,observacoes,pontuacao_total,chutes,pontuacao
40,40-60,altera,48,118,34,0,"[""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""NA"",""NA"",""NA"",""NA"",""NA"",1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1]","[0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,1]"
87,30-70,nao_altera,190,0,10,76,"[""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,1,-1,-1]"
216,40-60,altera,59,54,87,5,"[""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",1,1,1,0,0,1,1,1,0,1,""NA"",""NA"",""NA"",""NA"",0,0,0,""NA"",""NA"",""NA"",1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,-1,1,1,1,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1]"
256,30-70,altera,200,0,0,84,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,1]"
368,30-70,altera,48,94,58,4,"[""NA"",0,1,""NA"",""NA"",1,1,0,0,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",1,1,0,0,0,""NA"",0,0,1,1,1,0,""NA"",""NA"",""NA"",1,1,1,0,""NA"",1,1,0,1,0,1,1,1,0,0,""NA"",0,1,1,0,1,0,1,0,""NA"",0,0,0,0,0,0,1,0,0,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",1,0,0,0,0,""NA"",""NA"",""NA"",""NA"",""NA"",1,1,1,0,1,0,1,0,0,1,0,1,1,0,""NA"",""NA"",""NA"",""NA"",""NA"",0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,""NA"",""NA"",""NA"",0,0,1,0,0,1,0,""NA"",""NA"",0,0,1,0,0,""NA"",""NA"",""NA"",""NA"",0,0,0,0,0,""NA"",""NA"",""NA"",""NA"",""NA"",0,0,0,0,0,0,0,0,0,0,""NA"",""NA"",""NA"",""NA"",""NA"",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,""NA"",""NA"",0,0,0,0,0,0,0]","[0,1,-1,0,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,0,-1,1,-1,-1,-1,1,0,0,0,-1,-1,1,-1,0,1,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,1,-1,-1,-1,1,0,1,-1,-1,1,1,1,1,1,-1,0,0,0,0,0,0,-1,-1,-1,1,1,0,0,0,0,0,-1,-1,-1,1,1,1,-1,1,1,-1,1,-1,1,1,0,0,0,0,0,1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,0,0,0,-1,-1,-1,1,1,-1,1,0,0,-1,1,-1,1,1,0,0,0,0,-1,1,1,1,1,0,0,0,0,0,-1,1,1,1,-1,1,-1,1,1,-1,0,0,0,0,0,1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,1,1,1]"
320,40-60,nao_altera,79,95,26,-8,"[""NA"",1,1,""NA"",""NA"",""NA"",1,0,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,""NA"",""NA"",""NA"",""NA"",""NA"",0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0]","[0,1,-1,0,0,0,1,1,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,0,0,0,0,0,1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1,1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1]"
342,30-70,nao_altera,106,37,57,25,"[""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",1,""NA"",1,1,""NA"",1,1,0,1,""NA"",1,1,0,""NA"",1,""NA"",0,1,""NA"",""NA"",1,1,""NA"",0,1,1,""NA"",""NA"",1,1,1,0,""NA"",1,1,0,1,""NA"",0,""NA"",1,""NA"",0,1,1,0,""NA"",1,""NA"",0,1,1,0,1,""NA"",1,1,0,""NA"",1,""NA"",0,1,""NA"",""NA"",1,1,0,1,1,""NA"",1,1,0,1,""NA"",""NA"",1,1,1,0,""NA"",1,1,0,1,1,0,1,""NA"",0,1,1,0,1,1,1,0,""NA"",1,1,1,0,""NA"",1,1,1,0,""NA"",1,1,""NA"",0,1,1,0,1,1,1,""NA"",1,1,0,""NA"",""NA"",1,1,1,0,1,""NA"",1,1,""NA"",1,""NA"",1,1,""NA"",1,1,1,0,1,1,""NA"",1,1,0,1,1,""NA"",0,1,""NA"",""NA"",0,1,1,""NA"",0,""NA"",1,""NA"",1,1,0,1,1,0,""NA"",1,""NA"",0,""NA"",1,1,0,1,1,1,""NA"",""NA"",1,1,""NA"",0,1,1,1,1,1,1]","[0,0,0,0,0,0,0,-1,0,-1,1,0,-1,1,-1,1,0,1,-1,-1,0,-1,0,-1,1,0,0,-1,-1,0,-1,-1,1,0,0,-1,1,-1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,-1,0,-1,0,1,-1,-1,-1,1,0,1,1,-1,0,1,0,-1,1,0,0,1,1,-1,1,-1,0,-1,-1,-1,-1,0,0,1,1,1,1,0,1,-1,-1,-1,1,-1,1,0,1,1,1,-1,-1,1,1,-1,0,1,1,1,-1,0,1,1,-1,1,0,1,1,0,-1,-1,-1,-1,1,1,1,0,-1,1,-1,0,0,1,1,1,1,-1,0,1,1,0,1,0,1,-1,0,1,1,1,-1,1,1,0,1,1,-1,1,-1,0,-1,1,0,0,1,-1,-1,0,-1,0,1,0,-1,-1,1,1,-1,-1,0,-1,0,1,0,1,1,1,-1,1,1,0,0,1,-1,0,-1,1,1,1,1,1,1]"
550,40-60,altera,99,76,25,3,"[0,1,""NA"",0,1,1,1,1,1,0,""NA"",1,""NA"",1,0,1,""NA"",1,0,0,1,""NA"",1,0,""NA"",1,0,""NA"",1,0,""NA"",1,1,1,0,""NA"",0,0,1,""NA"",1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,""NA"",1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,""NA"",0,1,0,0,1,1,1,0,1,0,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0]","[-1,1,0,-1,1,-1,1,1,-1,1,0,-1,0,1,-1,-1,0,1,-1,1,1,0,-1,1,0,1,-1,0,-1,1,0,-1,1,1,1,0,-1,1,1,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,0,-1,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,1,0,1,-1,-1,1,-1,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1]"
596,30-70,nao_altera,0,185,15,85,"[""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""NA"",""NA"",""NA"",""NA"",""NA"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,0,0,0,0,0,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1]"
706,30-70,altera,66,39,95,7,"[""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",1,1,1,1,1,1,0,0,0,0,""NA"",""NA"",""NA"",""NA"",""NA"",1,1,1,1,1,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,1,-1,1,1,-1,-1,-1,-1]"
738,40-60,nao_altera,104,67,29,-15,"[""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",1,0,1,1,1,0,1,1,""NA"",0,""NA"",1,1,0,1,1,1,0,1,1,1,0,1,1,1,""NA"",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",0,""NA"",1,1,1,1,0,1,""NA"",""NA"",0,1,1,0,0,""NA"",1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,""NA"",""NA"",""NA"",0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,""NA"",""NA"",0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,""NA"",""NA"",""NA"",1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,""NA"",""NA"",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1]","[0,0,0,0,0,0,-1,-1,-1,1,1,-1,1,1,0,-1,0,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,1,1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,0,0,0,0,0,0,1,0,1,-1,-1,1,-1,1,0,0,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,0,0,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,0,0,0,1,1,1,-1,1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,0,0,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,1,1,-1,-1]"
805,40-60,nao_altera,76,64,60,-12,"[""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1]"
